D	N	theta_moyen	        theta_goc	Δtheta
4	27	55.713417484674906	56.1106132	.397195715325094
4	28	54.453655291842622	55.4351398	.981484508157378
4	29	53.580854854775041	55.0299245	1.449069645224959
4	30	54.097427193288667	54.2511897	.153762506711333
4	31	52.651545794518611	53.7886221	1.137076305481389
4	32	52.929789353609330	53.4360130	.506223646390670
4	33	52.761456540826742	53.0759811	.314524559173258
4	34	51.968857510177756	52.4011334	.432275889822244
4	35	51.014799936508190	51.5724903	.557690363491810
4	36	49.967341892159567	51.0745199	1.107178007840433
4	37	49.637298613243104	50.9226685	1.285369886756896
4	38	49.428833616062406	50.1535207	.724687083937594
4	39	48.907123078370297	49.6895967	.782473621629703
4	40	49.240153546032538	49.4208547	.180701153967462
4	41	48.558102966271207	49.0594727	.501369733728793
4	42	48.818146236272874	48.8204491	.002302863727126
4	43	48.382487261939389	48.4963928	.113905538060611
4	44	47.278157406764961	48.0251062	.746948793235039
4	45	47.049870932295264	47.3961868	.346315867704736
4	46	46.320249698444684	46.9743371	.654087401555316
4	47	45.843389553312093	46.7328543	.889464746687907
4	48	45.772668512092025	46.3832527	.610584187907975
4	49	45.263355186130049	46.0990591	.835703913869951
4	50	44.053334465585571	46.0742073	2.020872834414429
4	51	44.813545140181013	45.4625355	.648990359818987
4	52	43.982307074515496	45.2812081	1.298901025484504
4	53	44.355545672529153	44.9542243	.598678627470847
4	54	44.274771650914325	44.7883187	.513547049085675
4	55	44.157141014358366	44.3025299	.145388885641634
4	56	43.329222152214705	44.0114102	.682188047785295
4	57	43.429237495610579	43.7495816	.320344104389421
4	58	42.806268192493413	43.5341667	.727898507506587
4	59	43.019386359151824	43.3907742	.371387840848176
4	60	43.065020037730925	43.2167495	.151729462269075
4	61	42.962960915351132	42.9862214	.023260484648868
4	62	42.780624317456549	42.7870922	.006467882543451
4	63	42.156439093235093	42.3770430	.220603906764907
4	64	41.909430396448720	42.3062196	.396789203551280
4	65	41.463293545710506	42.0566173	.593323754289494
4	66	41.137373279882318	41.7550028	.617629520117682
4	67	41.067764270235578	41.4987735	.431009229764422
4	68	40.626510644246011	41.3146370	.688126355753989
4	69	40.966410044844515	41.1813742	.214964155155485
4	70	40.598402959559934	41.0851193	.486716340440066
4	71	40.303775642815417	40.8538202	.550044557184583
4	72	40.301006437232793	40.7098566	.408850162767207
4	73	40.426551647462517	40.6070686	.180516952537483
4	74	40.416965764341633	40.5754396	.158473835658367
4	75	40.398574741090620	40.4865078	.087933058909380
4	76	40.326099226040519	40.4418535	.115754273959481
